PROPERTY_NUM,TRANSACTION_AMOUNT,YEAR_BUILT,ADDRESS,REGISTRATION_DATE,ROAD_NAME,APARTMENT_NAME,SQUARE_FOOTAGE,FLOOR_NUMBER
127,1050000000,2004,서울특별시 성동구  하왕십리동 1061 ,2024-07-06,난계로,왕십리풍림아이원,84.42,2

128,910000000,2016,서울특별시 성동구  하왕십리동 1070 ,2024-07-06,왕십리로,센트라스,40.94,22

129,1485000000,2016,서울특별시 성동구  하왕십리동 1070 ,2024-07-06,왕십리로,센트라스,59.93,12

130,1418000000,2016,서울특별시 성동구  하왕십리동 1070 ,2024-07-06,왕십리로,센트라스,59.94,4

131,1040000000,2016,서울특별시 성동구  하왕십리동 1002 ,2024-07-06,무학봉길,왕십리KCC스위첸,59.85,10

132,898000000,1989,서울특별시 성동구  하왕십리동 990 ,2024-07-09,왕십리로31나길,한신무학,75.2,7

133,1120000000,2016,서울특별시 성동구  하왕십리동 1002 ,2024-07-09,무학봉길,왕십리KCC스위첸,68.11,4

134,1640000000,2016,서울특별시 성동구  하왕십리동 1070 ,2024-07-10,왕십리로,센트라스,84.98,2

135,1675000000,2015,서울특별시 성동구  하왕십리동 1066 ,2024-07-11,무학로,텐즈힐(1단지),84.96,10

136,1750000000,2016,서울특별시 성동구  하왕십리동 1070 ,2024-07-11,왕십리로,센트라스,84.96,13

137,1070000000,1989,서울특별시 성동구  하왕십리동 990 ,2024-07-16,왕십리로31나길,한신무학,114.59,9

138,1700000000,2016,서울특별시 성동구  하왕십리동 1070 ,2024-07-16,왕십리로,센트라스,84.96,10

139,750000000,1989,서울특별시 성동구  사근동 199 ,2024-07-06,사근동길,중앙하이츠,71.85,13

140,1345000000,2000,서울특별시 성동구  행당동 347 ,2024-07-01,행당로,대림e-편한세상,114.94,1

141,1050000000,2000,서울특별시 성동구  행당동 346 ,2024-07-01,행당로,행당한진타운,59.96,21

142,1050000000,2000,서울특별시 성동구  행당동 346 ,2024-07-01,행당로,행당한진타운,59.96,21

143,1070000000,2000,서울특별시 성동구  행당동 346 ,2024-07-02,행당로,행당한진타운,59.96,18

144,1040000000,2000,서울특별시 성동구  행당동 347 ,2024-07-03,행당로,대림e-편한세상,59.96,10

